timestamp,host,source,severity,event_type,user,ip_address,message,is_injected_anomaly
2025-01-01 00:04:45,db-2,system,info,file_access,alice,192.168.81.85,File accessed by alice on db-2,0
2025-01-01 00:14:52,worker-2,system,info,service_restart,bob,192.168.202.185,Service restarted on worker-2 by bob,0
2025-01-01 00:40:45,db-1,app,info,login_success,alice,192.168.156.184,Accepted password for alice from 192.168.156.184,0
2025-01-01 00:53:41,cache-1,system,info,file_access,alice,192.168.227.129,File accessed by alice on cache-1,0
2025-01-01 00:55:29,worker-1,system,info,service_restart,deploy,192.168.55.31,Service restarted on worker-1 by deploy,0
2025-01-01 01:14:30,web-2,system,info,connection_established,root,192.168.83.104,Connection established from 192.168.83.104 to web-2,0
2025-01-01 01:49:11,worker-1,system,info,file_access,john,192.168.43.63,File accessed by john on worker-1,0
2025-01-01 02:31:24,db-1,app,info,config_change,admin,192.168.98.144,Config modified by admin on db-1,0
2025-01-01 02:58:17,web-2,system,info,service_restart,service,192.168.192.236,Service restarted on web-2 by service,0
2025-01-01 03:10:08,web-1,system,info,connection_established,bob,192.168.183.216,Connection established from 192.168.183.216 to web-1,0
2025-01-01 03:57:51,cache-1,app,info,config_change,admin,192.168.201.231,Config modified by admin on cache-1,0
2025-01-01 04:01:40,api-1,system,info,file_access,,192.168.93.33,File accessed by unknown on api-1,0
2025-01-01 04:12:21,web-2,firewall,info,connection_established,alice,192.168.210.233,Connection established from 192.168.210.233 to web-2,0
2025-01-01 04:16:41,worker-2,system,info,service_restart,alice,192.168.126.198,Service restarted on worker-2 by alice,0
2025-01-01 04:58:56,db-1,ssh,info,login_success,bob,192.168.20.172,Accepted password for bob from 192.168.20.172,0
2025-01-01 05:00:34,web-2,system,info,connection_established,john,192.168.86.103,Connection established from 192.168.86.103 to web-2,0
2025-01-01 05:16:59,db-2,app,info,connection_established,john,192.168.99.253,Connection established from 192.168.99.253 to db-2,0
2025-01-01 05:34:59,web-2,app,info,file_access,admin,192.168.177.220,File accessed by admin on web-2,0
2025-01-01 06:00:42,db-1,app,info,file_access,bob,192.168.200.104,File accessed by bob on db-1,0
2025-01-01 06:00:55,worker-1,app,info,service_restart,alice,192.168.235.51,Service restarted on worker-1 by alice,0
2025-01-01 06:07:20,db-1,app,info,file_access,bob,192.168.215.170,File accessed by bob on db-1,0
2025-01-01 06:15:01,db-1,app,info,connection_established,root,192.168.23.141,Connection established from 192.168.23.141 to db-1,0
2025-01-01 06:21:19,api-1,system,info,connection_established,john,192.168.199.159,Connection established from 192.168.199.159 to api-1,0
2025-01-01 06:30:27,api-1,app,info,connection_established,alice,192.168.114.57,Connection established from 192.168.114.57 to api-1,0
2025-01-01 06:35:57,api-1,app,info,login_success,john,192.168.234.250,Accepted password for john from 192.168.234.250,0
2025-01-01 06:37:41,web-1,app,warning,login_failed,postgres,91.221.119.58,Failed password for postgres from 91.221.119.58,1
2025-01-01 06:38:17,web-2,firewall,info,connection_established,john,192.168.51.11,Connection established from 192.168.51.11 to web-2,0
2025-01-01 06:38:24,worker-1,system,info,service_restart,postgres,192.168.68.121,Service restarted on worker-1 by postgres,0
2025-01-01 06:40:19,db-2,firewall,info,connection_established,john,192.168.48.97,Connection established from 192.168.48.97 to db-2,0
2025-01-01 06:43:07,db-1,firewall,info,connection_established,bob,192.168.144.121,Connection established from 192.168.144.121 to db-1,0
2025-01-01 06:43:42,web-2,firewall,info,connection_established,,192.168.108.155,Connection established from 192.168.108.155 to web-2,0
2025-01-01 06:44:02,db-1,system,info,file_access,alice,192.168.5.135,File accessed by alice on db-1,0
2025-01-01 06:52:54,db-2,system,info,file_access,postgres,192.168.244.156,File accessed by postgres on db-2,0
2025-01-01 06:54:05,worker-2,system,info,config_change,bob,192.168.68.44,Config modified by bob on worker-2,0
2025-01-01 06:59:03,web-1,firewall,info,connection_established,bob,192.168.147.126,Connection established from 192.168.147.126 to web-1,0
2025-01-01 07:04:33,api-1,system,info,service_restart,alice,192.168.63.138,Service restarted on api-1 by alice,0
2025-01-01 07:06:47,web-1,app,info,connection_established,alice,192.168.203.126,Connection established from 192.168.203.126 to web-1,0
2025-01-01 07:08:42,web-1,app,info,connection_established,root,192.168.237.92,Connection established from 192.168.237.92 to web-1,0
2025-01-01 07:09:59,db-1,app,info,file_access,deploy,192.168.144.167,File accessed by deploy on db-1,0
2025-01-01 07:20:49,worker-1,app,info,login_success,alice,192.168.219.48,Accepted password for alice from 192.168.219.48,0
2025-01-01 07:22:06,api-1,system,info,connection_established,postgres,192.168.136.77,Connection established from 192.168.136.77 to api-1,0
2025-01-01 07:29:14,api-1,app,info,connection_established,alice,192.168.241.190,Connection established from 192.168.241.190 to api-1,0
2025-01-01 07:30:01,worker-1,system,info,service_restart,root,192.168.141.3,Service restarted on worker-1 by root,0
